id,name,degree,peel,diversity,betweenness,pagerank
396,Larraq,0.0,0.0,0.0,0.0,0.00018906914815132033
397,Leaf,0.008264462809917356,0.08333333333333333,0.2810395886048937,0.0,0.002033648953102875
398,Leathers,0.03305785123966942,0.16666666666666666,0.540137880687222,0.00011815555329538962,0.014183483829049359
399,Lem,0.11570247933884298,0.5,0.7539136326772208,0.030880047545378243,0.05926396124725095
400,Lemore,0.049586776859504134,0.4166666666666667,0.38749274549293994,1.061838452522444e-05,0.0172246560036515
401,Leo Lefford,0.0,0.0,0.0,0.0,0.00035542068547825777
402,Leo Tyrell,0.03305785123966942,0.25,0.20289037484789482,0.027102942427223206,0.023177374680174233
403,Leobald Tallhart,0.01652892561983471,0.16666666666666666,0.4454372090086314,0.00010670435429759856,0.0051958220002473006
404,Leona Woolfield,0.008264462809917356,0.08333333333333333,0.2810395886048937,0.0,0.002251692920022764
405,Leonette Fossoway,0.0,0.0,0.0,0.0,0.0005109207585776666
406,Lewyn Martell,0.024793388429752067,0.08333333333333333,0.4215593827046134,0.006862526586300764,0.016871715652853822
407,Lewys Piper,0.0,0.0,0.0,0.0,0.00016471677128746516
408,Lollys Stokeworth,0.049586776859504134,0.4166666666666667,0.6283838213820696,6.0899558306434295e-05,0.015700405785572306
409,Lommy Greenhands,0.04132231404958678,0.3333333333333333,0.6327969344749241,5.7776504034309465e-05,0.032542892949065226
410,Longwater Pyke,0.0,0.0,0.0,0.0,0.0014976429915057273
411,Loras Tyrell,0.2231404958677686,1.0,0.6317211978082238,0.007509576585670948,0.09036259477168561
412,Lorent Caswell,0.0,0.0,0.0,0.0,9.628208260061313e-05
413,Lorren,0.05785123966942149,0.16666666666666666,0.5090408585513897,0.01953797326894567,0.03497491747461454
414,Lothar Frey,0.08264462809917356,0.5,0.7678448101862352,0.0014451048778880576,0.01856801090377674
415,Lothor Brune,0.03305785123966942,0.25,0.540137880687222,0.00023631110659077923,0.009308414199994966
416,Lucas Codd,0.008264462809917356,0.0,0.2810395886048937,0.013094565771054514,0.016261666063917154
417,Lucifer Long,0.0,0.0,0.0,0.0,0.0017674639448826798
418,Luton,0.0,0.0,0.0,0.0,0.0018133501364733697
419,Luwin,0.17355371900826447,0.75,0.7937238496317739,0.016403348080742612,0.1117503234229588
420,Lyanna Mormont,0.0,0.0,0.0,0.0,0.00020412026996300878
421,Lyanna Stark,0.03305785123966942,0.3333333333333333,0.3852913907240007,5.9858540215726016e-05,0.01039449074825299
